Country Name,Country Code,year,co2
Aruba,ABW,2000,26.19487524
Aruba,ABW,2001,25.93402441
Aruba,ABW,2002,25.67116178
Aruba,ABW,2003,26.42045209
Aruba,ABW,2004,26.51729342
Aruba,ABW,2005,27.20070778
Aruba,ABW,2006,26.94826047
Aruba,ABW,2007,27.895574
Aruba,ABW,2008,26.23084664
Aruba,ABW,2009,25.91583295
Aruba,ABW,2010,24.67052887
Aruba,ABW,2011,24.5058352
Aruba,ABW,2012,13.15554169
Aruba,ABW,2013,8.351294252
Aruba,ABW,2014,8.408362638
Afghanistan,AFG,2000,0.03850634
Afghanistan,AFG,2001,0.039002334
Afghanistan,AFG,2002,0.048715548
Afghanistan,AFG,2003,0.0518296
Afghanistan,AFG,2004,0.039377828
Afghanistan,AFG,2005,0.052948215
Afghanistan,AFG,2006,0.063728472
Afghanistan,AFG,2007,0.085417506
Afghanistan,AFG,2008,0.154101422
Afghanistan,AFG,2009,0.241722682
Afghanistan,AFG,2010,0.293836994
Afghanistan,AFG,2011,0.412016938
Afghanistan,AFG,2012,0.350370581
Afghanistan,AFG,2013,0.315601773
Afghanistan,AFG,2014,0.299444991
Angola,AGO,2000,0.580352661
Angola,AGO,2001,0.573047493
Angola,AGO,2002,0.720768849
Angola,AGO,2003,0.497975073
Angola,AGO,2004,0.996165478
Angola,AGO,2005,0.979740026
Angola,AGO,2006,1.098883898
Angola,AGO,2007,1.197843982
Angola,AGO,2008,1.181526759
Angola,AGO,2009,1.232494515
Angola,AGO,2010,1.243405585
Angola,AGO,2011,1.252789255
Angola,AGO,2012,1.330843018
Angola,AGO,2013,1.254617218
Angola,AGO,2014,1.291328315
Albania,ALB,2000,0.978174681
Albania,ALB,2001,1.053304176
Albania,ALB,2002,1.229540709
Albania,ALB,2003,1.412697196
Albania,ALB,2004,1.376212735
Albania,ALB,2005,1.412498211
Albania,ALB,2006,1.302576367
Albania,ALB,2007,1.322334855
Albania,ALB,2008,1.484311139
Albania,ALB,2009,1.495600199
Albania,ALB,2010,1.578573584
Albania,ALB,2011,1.803714725
Albania,ALB,2012,1.692908325
Albania,ALB,2013,1.749211079
